COUNTY,PLURALITY_PARTY
ACCOMACK COUNTY,R
ALBEMARLE COUNTY,D
ALEXANDRIA CITY,D
ALLEGHANY COUNTY,R
AMELIA COUNTY,R
AMHERST COUNTY,R
APPOMATTOX COUNTY,R
ARLINGTON COUNTY,D
AUGUSTA COUNTY,R
BATH COUNTY,R
BEDFORD COUNTY,R
BLAND COUNTY,R
BOTETOURT COUNTY,R
BRISTOL CITY,R
BRUNSWICK COUNTY,D
BUCHANAN COUNTY,R
BUCKINGHAM COUNTY,R
BUENA VISTA CITY,R
CAMPBELL COUNTY,R
CAROLINE COUNTY,R
CARROLL COUNTY,R
CHARLES CITY COUNTY,D
CHARLOTTE COUNTY,R
CHARLOTTESVILLE CITY,D
CHESAPEAKE CITY,R
CHESTERFIELD COUNTY,R
CLARKE COUNTY,R
COLONIAL HEIGHTS CITY,R
COVINGTON CITY,R
CRAIG COUNTY,R
CULPEPER COUNTY,R
CUMBERLAND COUNTY,R
DANVILLE CITY,D
DICKENSON COUNTY,R
DINWIDDIE COUNTY,R
EMPORIA CITY,D
ESSEX COUNTY,R
FAIRFAX CITY,D
FAIRFAX COUNTY,D
FALLS CHURCH CITY,D
FAUQUIER COUNTY,R
FLOYD COUNTY,R
FLUVANNA COUNTY,R
FRANKLIN CITY,R
FRANKLIN COUNTY,D
FREDERICK COUNTY,R
FREDERICKSBURG CITY,D
GALAX CITY,R
GILES COUNTY,R
GLOUCESTER COUNTY,R
GOOCHLAND COUNTY,R
GRAYSON COUNTY,R
GREENE COUNTY,R
GREENSVILLE COUNTY,D
HALIFAX COUNTY,R
HAMPTON CITY,D
HANOVER COUNTY,R
HARRISONBURG CITY,D
HENRICO COUNTY,D
HENRY COUNTY,R
HIGHLAND COUNTY,R
HOPEWELL CITY,D
ISLE OF WIGHT COUNTY,R
JAMES CITY COUNTY,R
KING AND QUEEN COUNTY,R
KING GEORGE COUNTY,R
KING WILLIAM COUNTY,R
LANCASTER COUNTY,R
LEE COUNTY,R
LEXINGTON CITY,D
LOUDOUN COUNTY,D
LOUISA COUNTY,R
LUNENBURG COUNTY,R
LYNCHBURG CITY,R
MADISON COUNTY,R
MANASSAS CITY,D
MANASSAS PARK CITY,D
MARTINSVILLE CITY,D
MATHEWS COUNTY,R
MECKLENBURG COUNTY,R
MIDDLESEX COUNTY,R
MONTGOMERY COUNTY,R
NELSON COUNTY,R
NEW KENT COUNTY,R
NEWPORT NEWS CITY,D
NORFOLK CITY,D
NORTHAMPTON COUNTY,R
NORTHUMBERLAND COUNTY,R
NORTON CITY,R
NOTTOWAY COUNTY,R
ORANGE COUNTY,R
PAGE COUNTY,R
PATRICK COUNTY,R
PETERSBURG CITY,D
PITTSYLVANIA COUNTY,R
POQUOSON CITY,R
PORTSMOUTH CITY,D
POWHATAN COUNTY,R
PRINCE EDWARD COUNTY,R
PRINCE GEORGE COUNTY,R
PRINCE WILLIAM COUNTY,D
PULASKI COUNTY,R
RADFORD CITY,R
RAPPAHANNOCK COUNTY,R
RICHMOND CITY,R
RICHMOND COUNTY,D
ROANOKE CITY,R
ROANOKE COUNTY,D
ROCKBRIDGE COUNTY,R
ROCKINGHAM COUNTY,R
RUSSELL COUNTY,R
SALEM CITY,R
SCOTT COUNTY,R
SHENANDOAH COUNTY,R
SMYTH COUNTY,R
SOUTHAMPTON COUNTY,R
SPOTSYLVANIA COUNTY,R
STAFFORD COUNTY,R
STAUNTON CITY,D
SUFFOLK CITY,D
SURRY COUNTY,D
SUSSEX COUNTY,D
TAZEWELL COUNTY,R
VIRGINIA BEACH CITY,R
WARREN COUNTY,R
WASHINGTON COUNTY,R
WAYNESBORO CITY,R
WESTMORELAND COUNTY,R
WILLIAMSBURG CITY,D
WINCHESTER CITY,D
WISE COUNTY,R
WYTHE COUNTY,R
YORK COUNTY,R
